x, y
1125.846548, 3097.754921
0.000000, 0.000000
1112.144778, 3094.200703
0.000000, 0.000000
1100.711996, 3094.040902
0.000000, 0.000000
1088.402188, 3094.152659
1077.419381, 3097.994105
0.000000, 0.000000
1067.017758, 3101.592027
0.000000, 0.000000
1058.882770, 3112.830108
0.000000, 0.000000
0.000000, 0.000000
843.176518, 2552.331749
0.000000, 0.000000
828.154198, 2536.214625
0.000000, 0.000000
813.011644, 2520.102392
799.689336, 2507.572724
785.981905, 2495.132951
0.000000, 0.000000
755.455745, 2487.827691
747.342151, 2490.277035
728.533271, 2491.677201
269.705978, 987.843452
263.600471, 979.137780
258.259660, 972.284911
253.289291, 967.390580
0.000000, 0.000000
247.857202, 960.536729
241.254082, 951.903602
236.694786, 946.864076
232.378175, 943.813744
228.557448, 942.688439
225.018435, 941.483247
0.000000, 0.000000
220.303241, 936.434985
0.000000, 0.000000
216.528915, 935.262118
212.589592, 932.063123
208.406269, 928.908406
0.000000, 0.000000
204.678916, 927.688817
201.229304, 926.396658
197.524211, 925.148737
193.033248, 924.053118
188.950076, 920.813699
185.156226, 917.503772
181.900379, 918.154808
178.260529, 916.831055
174.895672, 915.442791
171.278858, 914.091654
168.298281, 914.645116
164.697728, 913.268120
161.457035, 913.846610
158.135762, 912.397436
154.563645, 910.980834
151.003573, 909.550395
148.037906, 910.037790
144.808776, 910.557202
141.270714, 909.088876
138.519879, 911.535103
134.992036, 910.042389
132.024851, 910.477588
128.794262, 910.940195
125.289092, 909.410052
122.324019, 909.813626
119.095846, 910.241825
115.866175, 910.658569
112.897083, 911.031420
109.664650, 911.426171
106.662712, 913.795965
103.458043, 912.151541
100.221695, 912.512801
97.458508, 914.823392
94.212721, 915.163353
90.965748, 915.491798
88.172296, 917.774289
84.916099, 918.081291
81.658834, 918.376739
78.835404, 920.630751
75.732703, 922.897913
72.723927, 923.139876
69.598791, 925.386410
66.315709, 925.627477
63.298085, 925.838729
60.142777, 928.053256
56.972553, 930.257023
54.055639, 932.434442
50.856320, 934.617373
47.642193, 936.789315
44.688215, 940.939405
41.350118, 941.092008
38.282217, 941.221797
35.017348, 943.350298
32.894982, 947.429111
29.658554, 951.537897
26.612456, 953.628742
23.326858, 957.715959
20.331408, 963.785575
16.982597, 967.851017
13.549210, 967.905170
10.343821, 971.944960
6.924331, 975.975437
3.758244, 979.992794
1.417973, 985.998980
-2.096567, 993.997789
-5.656524, 999.984002
-9.005307, 1009.959853
-12.687610, 1017.920932
-18.761465, 1029.829116
-418.761596, 11736.531631
-457.016983, 11735.104238
-498.981989, 11741.402002
-535.058465, 11691.763273
-571.012531, 11577.927651
-607.855437, 11495.940839
-642.186386, 11437.986389
-681.326223, 11411.679043
-719.111572, 11401.344418
-760.615098, 11414.686359
-803.902948, 11451.818198
-842.986873, 11473.072349
-884.294785, 11477.986179
-924.907506, 11514.914247
-967.755211, 11535.476837
-0.000000, 0.000000
-1010.760415, 11555.880035
-1051.315990, 11584.392893
-1093.154269, 11588.555292
-0.000000, 0.000000
